,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
1593,V97688,176,0.005,0.046,4.55,0.662,0.066,0.043,372,54,1461.0,11,5,0.006
1594,V97687,175,0.005,0.03,4.56,0.96,0.092,0.048,357,52,1411.0,9,5,0.002
1595,V97686,164,0.005,0.048,4.5,0.882,0.09,0.047,382,54,1388.0,10,5,0.004
1596,V97685,170,0.005,0.045,4.57,0.669,0.075,0.043,367,52,1346.0,11,5,0.005
1597,V97684,178,0.005,0.04,4.55,0.765,0.084,0.047,349,49,1343.0,9,5,0.003
1598,V97683,163,0.005,0.044000000000000004,4.55,0.861,0.076,0.048,362,51,1386.0,9,4,0.004
1599,V97682,179,0.005,0.047,4.56,0.6759999999999999,0.073,0.046,376,54,1403.0,11,5,0.005
1600,V97680,175,0.005,0.031,4.57,0.755,0.079,0.046,297,41,1383.0,8,3,0.006
1601,V97678,176,0.005,0.031,4.55,0.6659999999999999,0.08199999999999999,0.043,296,43,1358.0,8,4,0.004
1602,V97677,178,0.005,0.038,4.54,0.523,0.067,0.042,344,52,1371.0,8,5,0.005
1603,V97676,156,0.005,0.039,4.47,0.51,0.062,0.043,350,49,1381.0,9,4,0.006999999999999999
1604,V97675,164,0.005,0.04,4.52,0.46299999999999997,0.057,0.043,344,48,1418.0,10,4,0.008
1605,V97674,172,0.005,0.040999999999999995,4.57,0.46799999999999997,0.055,0.044000000000000004,338,48,1337.0,9,5,0.006
1606,V97673,170,0.005,0.04,4.56,0.687,0.075,0.043,351,49,1376.0,9,5,0.006999999999999999
1607,V97672,163,0.005,0.034,4.54,0.77,0.081,0.044000000000000004,313,45,1395.0,9,4,0.005
1608,V97671,171,0.005,0.037000000000000005,4.48,0.555,0.064,0.044000000000000004,320,45,1382.0,9,4,0.006
1609,V97670,157,0.005,0.044000000000000004,4.54,0.505,0.062,0.043,369,53,1385.0,10,5,0.004
1610,V97669,172,0.005,0.046,4.56,0.478,0.057999999999999996,0.042,378,53,1353.0,10,4,0.006999999999999999
1611,V97668,173,0.005,0.049,4.46,0.488,0.055999999999999994,0.042,380,55,1372.0,11,5,0.006999999999999999
1612,V97667,166,0.005,0.040999999999999995,4.53,0.39799999999999996,0.055,0.042,355,49,1368.0,9,5,0.008
1613,V97666,158,0.005,0.042,4.48,0.409,0.052000000000000005,0.042,351,59,1376.0,10,5,0.006
1614,V97665,165,0.005,0.040999999999999995,4.49,0.8109999999999999,0.08199999999999999,0.042,396,58,1325.0,12,6,0.002
1615,V97664,156,0.005,0.04,4.55,0.737,0.078,0.044000000000000004,341,48,1382.0,10,4,0.005
1616,V97662,162,0.005,0.051,4.47,0.545,0.065,0.044000000000000004,402,58,1365.0,10,5,0.006999999999999999
1617,V97663,164,0.005,0.044000000000000004,4.54,0.6779999999999999,0.07400000000000001,0.044000000000000004,368,54,1422.0,10,6,0.005
1618,V97661,160,0.005,0.040999999999999995,4.57,0.5920000000000001,0.07,0.045,344,49,1377.0,9,4,0.006999999999999999
1619,V97659,166,0.005,0.03,4.54,0.856,0.091,0.042,298,42,1351.0,7,4,0.006999999999999999
1620,V97660,169,0.005,0.040999999999999995,4.55,0.72,0.07,0.045,349,48,1385.0,9,5,0.006
1621,V97658,156,0.005,0.028999999999999998,4.56,0.833,0.091,0.048,294,41,1363.0,7,3,0.004
1622,V97655,160,0.005,0.035,4.6,0.721,0.08199999999999999,0.045,322,45,1411.0,8,4,0.006
1623,V97654,157,0.005,0.027999999999999997,4.65,0.9420000000000001,0.098,0.046,289,48,1385.0,7,4,0.006
1624,V97653,160,0.005,0.028999999999999998,4.58,0.987,0.09699999999999999,0.044000000000000004,293,43,1404.0,7,4,0.005
1625,V97652,167,0.005,0.027999999999999997,4.65,0.9890000000000001,0.098,0.040999999999999995,291,41,1426.0,7,4,0.006999999999999999
1626,V97651,175,0.005,0.035,4.56,0.815,0.083,0.045,325,45,1409.0,8,0,0.005
1627,V97650,173,0.005,0.036000000000000004,4.58,0.746,0.073,0.045,322,46,1406.0,8,5,0.008
1628,V97649,168,0.005,0.033,4.62,0.713,0.076,0.051,294,41,1388.3496882179193,7,3,0.006999999999999999
1629,V97648,160,0.005,0.028999999999999998,4.61,0.956,0.09699999999999999,0.05,373,53,1356.0,10,5,0.004
1630,V97647,161,0.005,0.028999999999999998,4.65,0.799,0.09,0.051,342,51,1369.0,9,5,0.003
